"cluster","reference","n_draws","p_undefined","median_km","mean_km","q05_km","ci_lo_km","ci_hi_km"
"north","zero",10000,0,16.1476835587466,16.0696991889653,12.4383001153549,11.9838429534028,20.7713544410554
"south","zero",10000,0.1322,12.5577709854083,18.7038579434838,8.65216970596039,7.13635406871942,38.5411239721593
"north","far-field level",10000,0.0666,24.7849363843982,25.9795416195759,18.0082672348543,17.445412452321,38.3301076071681
"south","far-field level",10000,0.6442,32.5890911948121,25.4733886447767,10.1596269944242,9.59203011302892,38.9336253924486
