"cluster","criterion","area_km2","n_before","n_after","n_displaced","density_change_per_km2"
"north","High-evidence zone (P >= 0.975)",1137.66865705949,1993.75544474769,470.640883409862,1523.11456133783,-1.33880330787577
"south","High-evidence zone (P >= 0.975)",874.406488483738,395.963163292943,100.969815188333,294.99334810461,-0.337364088658745
"north","Zero contour (P = 0.50)",2811.26387157675,4388.55664933134,1684.92046051262,2703.63618881872,-0.961715552977366
"south","Zero contour (P = 0.50)",5537.90776039701,2227.89517141229,975.854513405432,1252.04065800686,-0.226085502355334
