"cluster","threshold","distance","on_edge","criterion"
"north",0.975,10.9014429567306,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.9779136188474,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.99632583418601,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.01473804952462,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.7820779192047,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.1605512090459,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.6627128816787,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.3468141081805,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.36629587980942,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.38577765143835,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.5433478441527,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,11.534600256255,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.5258526683574,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,13.5171050804597,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,14.508357492562,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.4996099046643,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.57775328915647,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.3802448671384,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.81659601356259,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.2608798296124,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,16.2521322417148,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,16.4021427759038,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.15856542826553,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.9664239133583,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.59292624642792,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.72833701353335,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.89538451146994,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.10520391374055,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.15145322948052,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.38265848102813,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.79288735326262,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.35998502894673,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.03992602187589,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.23833132821345,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.2418567299333,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.24538213165309,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.5827165587106,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,11.0629657596027,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.2119357683615,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.38997600560684,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.60542056754551,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.86946462045095,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.17764957169148,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.48823358544529,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.79881759919909,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.11804142397905,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.53601952246181,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.11706141665087,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.89116696133928,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.78632093800089,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.13083303475302,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.76690391847578,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.30033957849825,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.30739038193789,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,15.2549459502583,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.5962980325362,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.90950006486208,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.53039405135474,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.93047773081364,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.35881975964222,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.79508454997142,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.32037383900553,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.97617548253413,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.78582905390663,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.76459528447139,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.9109460716004,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.11021284002463,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.55640316302361,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.17582363502813,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.86468002636009,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.3552970253433,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.35882242706315,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.362347828783,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.36939863222264,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.37292403394249,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.37644943566234,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,14.9608124777098,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.2064592498406,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.92783316838577,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.74013142947501,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.63324608639966,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.74105726704347,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.29833972421794,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.08659149847254,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.53347069622816,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,14.7069387373114,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.89532826396691,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.69816524064053,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.89904289921034,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,14.5175804416919,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,13.5323474993649,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,12.5491956840217,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,11.5686555959585,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,10.5914526288734,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,9.61860394190164,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.62998597175924,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.62828409298359,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.62658221420794,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.39249725016515,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.64244319757774,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.03820270370892,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.38563236998272,FALSE,"High-evidence zone (P >= 0.975)"
