"variant","cluster","effort_frac","mean_km","random_at_same_effort","excess_km"
"Reference (2001-2008, all)","north",1,7.22863193529987,6.60423473488482,0.624397200415047
"Reference (2001-2008, all)","south",1,6.10723039881696,5.49226268377549,0.614967715041474
"Excluding 2003","north",0.913740206803613,7.07473088929535,6.60304361128128,0.471687278014071
"Excluding 2003","south",0.913740206803613,6.60896278482484,5.49007061687109,1.11889216795375
"Excluding 2008","north",0.598466519724969,5.13816822536094,4.49921589295568,0.638952332405256
"Excluding 2008","south",0.598466519724969,4.32225314684471,2.23194921412074,2.09030393272397
"Excluding 2004","north",0.731656204682132,5.3475791643266,5.76743651964714,-0.419857355320535
"Excluding 2004","south",0.731656204682132,2.38191692555468,3.9543048638752,-1.57238793832052
"Early baseline (2001-2004)","north",0.535317494281453,4.90767866360921,4.58154660236692,0.326132061242292
"Early baseline (2001-2004)","south",0.535317494281453,4.06708794145471,1.73817247191575,2.32891546953896
"Late baseline (2005-2008)","north",0.464682505718547,3.86195358430072,3.57988191195846,0.282071672342265
"Late baseline (2005-2008)","south",0.464682505718547,4.64877979620668,2.33875909092448,2.3100207052822
"High-effort years only (2004, 2008)","north",0.669877275592898,5.35138291784443,5.34489813239308,0.00648478545135056
"High-effort years only (2004, 2008)","south",0.669877275592898,5.1382069350071,3.54145245214162,1.59675448286548
