"cluster","criterion","n","prop_on_edge","mean_km","sd_km","median_km","max_km","ci_lo","ci_hi","mean_km_interior","n_interior"
"north","High-evidence zone (P >= 0.975)",252,0.0992063492063492,7.22863193529987,4.02106904781837,6.88886362188729,16.4021427759038,6.72976068667551,7.72750318392422,7.53130833197662,227
"north","Zero contour (P = 0.50)",340,0.297058823529412,13.1094502476696,5.89461373322954,12.9391511777474,26.924619032954,12.480643398326,13.7382570970132,15.1822154966742,239
"south","High-evidence zone (P >= 0.975)",156,0,6.10723039881696,4.65333624479372,5.6170339745587,14.9018177659435,5.37127015216874,6.84319064546518,6.10723039881696,156
"south","Zero contour (P = 0.50)",488,0.42827868852459,28.8366764201759,13.1839372872528,34.1275504743604,52.148486386474,27.6640383815444,30.0093144588074,24.524420953381,279
