"cluster","n_contour_cells","area_km2","mean_km","median_km","max_km"
"north",256,1170.57727497173,7.46534841797167,7.13400351662433,16.458808192226
"south",176,879.108234617324,6.38810060902889,5.49514365181048,15.3792508219652
