"cluster","surface","n","mean_km","median_km","max_km"
"north","terra::distance",256,7.46534841797167,7.13400351662433,16.458808192226
"north","distanceto::distance_raster",256,7.5888248782135,7.17366734301384,16.5430063378496
"south","terra::distance",176,6.38810060902889,5.49514365181048,15.3792508219652
"south","distanceto::distance_raster",176,6.62132945968727,5.9617906947992,15.4188376502934
