"cluster","n_draws","p_no_zone","post_mean_km","post_median_km","ci_lo_km","ci_hi_km","mean_prop_on_edge"
"north",10000,0,23.8426774701179,18.197974182312,11.0312091412362,73.046565241765,0.27050946754715
"south",10000,0,31.6533593862074,29.4379244341902,21.7678000011965,63.4622379218593,0.287616784569047
